Tool ID,In SR or is Standalone?,1st Level Code,2nd Level Code,3rd Level Code,4th Level Code,Normalised Criterion,Appraisal (A) or Reporting (R) Mode,"Original, Modified or Existing tool?",Eligibility of Parent Tool?,Web of Science Topic Label 1,Web of Science Topic Label 2,Web of Science Topic Label 3,Web of Science Topic Label 4,Web of Science Topic Label 5
Benetti 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Confounding,Baseline equivalence of groups,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Benetti 2018,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Contemporary groups,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Benetti 2018,Systematic review,Test System,Theory,Methodological Information,Not classified,Bleaching protocol,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Benetti 2018,Systematic review,Test System,Theory,Methodological Information,Not classified,Light protocol,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Analysis,Results,Complete reporting,Not classified,All lesions included in analysis,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinded assessment of index test,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Not classified,Presence of inappropriate exclusions,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Random or consecutive inclusion,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Index test conducted independent of reference test,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,All lesions submitted to same reference test,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Validity of reference test,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Theory,Fit,External validity,External validity of lesion spectrum in relation to review question,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Theory,Fit,External validity,External validity of lesions in relation to review question,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Theory,Fit,External validity,External validity of prevalence of lesions in relation to review question,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Theory,Fit,External validity,Index test matches review question,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Theory,Fit,External validity,Interpretation of index test matches review question,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Time between index test and reference test,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Theory,Not classified,Not classified,Condition in reference test matches review question,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Theory,Not classified,Not classified,Conduct of index test matches review question,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Theory,PECO,Not classified,Exclusion of case-control designs,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Brouwer 2016,Systematic review,Test System,Theory,PECO,Outcomes,Defined cut-off points for index test,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Analysis,Results,Not classified,Not classified,Distribution of data,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Analysis,Results,Raw data,Not classified,Individual data,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Not classified,Not classified,Not classified,Not classified,Description of methodology,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Other,Ethics,Not classified,Not classified,Ethics committee registration,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Other,Interests,Not classified,Not classified,Sources of funding,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Experimental Practice,Controlling for random error,Replicates,Reproducibility of method,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Number of participants,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Number of tooth sites,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Allocation concealment,Allocation concealment,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of evaluators,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of operator,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Randomisation,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Investigator roles,Calibration of examiner,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Tooth preparation method,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Tooth storage method,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Working distance,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Theory,PECO,Not classified,Eligibility criteria,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Theory,PECO,Controls,Use of negative controls,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Theory,PECO,Controls,Use of positive controls,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Theory,PECO,Controls,Control treatment,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Theory,PECO,Exposure or intervention,Treatment time,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Theory,PECO,Population,Age of study subjects,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Theory,PECO,Population,Tooth type,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Buhler 2016,Systematic review,Test System,Verification,Outcomes,Not classified,Standardisation of measurement,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Cell Press 2016,Standalone,Analysis,Results,Raw data,Not classified,Accession number provided for data being deposited in community-endorsed repositories,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Raw data,Not classified,Clinical registry numbers associated with study,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Raw data,Not classified,Data and Code Availability section,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Raw data,Not classified,Data and Code Availability statement,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Raw data,Not classified,Links to websites and resources created or expanded on by the study,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Raw data,Not classified,Materials Availability section,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Raw data,Not classified,Materials Availability statement,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Raw data,Not classified,Restrictions on use of materials,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Raw data,Not classified,Status of new datasets generated in study,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Statistical methods,Not classified,Reasons for choice of statistical analysis to quantify data,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Statistical methods,Not classified,Statistical assumption checking,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Analysis,Results,Statistical methods,Not classified,Stratification strategy,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Experimental models listed under separate headings,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Key Resources Table provided as separate file,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,More than two levels of customised subheadings to organise information in methods text,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,No custom headings in the Key Resources Table,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Statement of where statistical parameters are reported,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Subheadings free of numbering,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Subheadings free of parenthetical text,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Subheadings shorter than 45 characters,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Text in all sections provided as paragraphs rather than list,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Methods provided in full e.g. without reference to other papers,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Method-specific descriptive subheadings,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,One item per row in Key Resources Table,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,References cited in methods and key resources provided in main references list,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,References cited provided in reference list,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Lead Contact details,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Lead Contact only author listed in Lead Contact section,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Lead Contact section,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Not classified,Not classified,Not classified,Not classified,Oligonucleotides provided when more than 10 are used,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Other,Summaries,Resources,Not classified,All items in Key Resources Table mentioned in main text,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Other,Summaries,Resources,Not classified,All papers cited in Key Resources Table included in reference list,U,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Other,Summaries,Resources,Not classified,All deposited and used data linked to from Key Resources Table,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Other,Summaries,Resources,Not classified,All deposited and used software and algorithms linked to from Key Resources Table,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Other,Summaries,Resources,Not classified,Descriptions of Key Resource Table items intuitive,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Experimental Practice,Controlling for random error,Replicates,Information about replication,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size calculation,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size estimation,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinded study,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Experimental Practice,Controlling for systematic error,Not classified,Analysis of influence of sex or gender of study tissue on results of study,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Randomisation strategy,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Experimental Practice,Nonspecific error control,Not classified,Temperature provided when it may impact results,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Not classified,Not classified,Not classified,Description of methodology,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Not classified,Not classified,Not classified,Explanation of how experimental procedures were conducted,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Not classified,Not classified,Not classified,Explanation of why experimental procedures were conducted,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Not classified,Not classified,Not classified,"If sex data unavailable, statement of why",R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Theory,Methodological Information,Not classified,Cell culture conditions,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Theory,PECO,Not classified,Eligibility criteria for data,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Theory,PECO,Population,Eligibility criteria for population,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Theory,PECO,Population,Sex of primary cultures and cell lines,R,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Verification,Not classified,Not classified,Provision of source and identifier for all resources,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Verification,Not classified,Not classified,Provision of unique identifiers for all items,A,Original,N/A,N/A,,,,
Cell Press 2016,Standalone,Test System,Verification,Population,Not classified,Cell line authentication,R,Original,N/A,N/A,,,,
Chan 2017,Systematic review,Analysis,Results,Complete reporting,Not classified,Complete outcome data,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Analysis,Results,Complete reporting,Not classified,Freedom from selective outcome reporting,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Analysis,Results,Not classified,Not classified,Differences between groups adjusted for in analysis,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Allocation concealment,Allocation concealment,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of caregivers to intervention status of animals,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of evaluators,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of investigators to intervention status of animals,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Confounding,Groups similar at baseline,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Not classified,Freedom from other issues which could result in high risk of bias,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Random allocation of subjects to study groups,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Random housing of animals,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Chan 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Random selection of animals for outcome assessment,A,Existing,Ineligible,Infectious diseases,Pharmacology and pharmacy,,,
Collins 2017,Systematic review,Analysis,Interpretation,Not classified,Not classified,Handling of indeterminate results,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical tests,A,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Analysis,Results,Statistical methods,Not classified,Consideration of heterogeneity for pooled results,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Analysis,Results,Statistical methods,Not classified,Measures of variability,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical assumptions,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical methods,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Not classified,Not classified,Not classified,Not classified,A priori statement of marker,A,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Other,Ethics,Not classified,Not classified,Statement of ethics,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Experimental Practice,Controlling for random error,Replicates,Interassay repeats,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Power analysis,A,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size calculation,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Proof genetic manipulation did not influence observed effect,A,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Not classified,Not classified,Not classified,Co-localisation experiments performed with second marker,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Not classified,Not classified,Not classified,Consideration of optical plane in confocal microscopy,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Subjective quantification of marker,U,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Model details,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Routine maintenance,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Theory,PECO,Controls,Use of negative controls,A,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Theory,PECO,Controls,Use of positive controls,A,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Verification,General validation,Not classified,Preparation of model for experiment,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Verification,Not classified,Not classified,Confirmation of localisation of marker by genecard or flybase,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Verification,Not classified,Not classified,Functional validation of marker,R,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Verification,Population,Not classified,Checking of cell lines for mycoplasma or contaminants,A,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Verification,Population,Not classified,Proof of model being adult stem cell,A,Existing,Ineligible,Multidisciplinary sciences,,,,
Collins 2017,Systematic review,Test System,Verification,Population,Not classified,Proof of origin of tissue in primary culture,A,Existing,Ineligible,Multidisciplinary sciences,,,,
Cramond 2016,Standalone,Analysis,Results,Complete reporting,Not classified,Results of statistical tests,R,Modified,Eligible,Computer science,Interdisciplinary applications,,,
Cramond 2016,Standalone,Analysis,Results,Not classified,Not classified,Similar variance between compared groups,A,Modified,Eligible,Computer science,Interdisciplinary applications,Information science & library science,,
Cramond 2016,Standalone,Analysis,Results,Statistical methods,Not classified,Correction for multiple comparisons,U,Modified,Eligible,Computer science,Interdisciplinary applications,,,
Cramond 2016,Standalone,Analysis,Results,Statistical methods,Not classified,Statistical assumption checking,A,Modified,Eligible,Computer science,Interdisciplinary applications,,,
Cramond 2016,Standalone,Analysis,Results,Statistical methods,Not classified,Average summary estimate,R,Modified,Eligible,Computer science,Interdisciplinary applications,,,
Cramond 2016,Standalone,Analysis,Results,Statistical methods,Not classified,Characterisation of statistical tests which are not common,R,Modified,Eligible,Computer science,Interdisciplinary applications,,,
Cramond 2016,Standalone,Analysis,Results,Statistical methods,Not classified,Estimate of within-group variation,R,Modified,Eligible,Computer science,Interdisciplinary applications,,,
Cramond 2016,Standalone,Analysis,Results,Statistical methods,Not classified,Median summary estimate,R,Modified,Eligible,Computer science,Interdisciplinary applications,,,
Cramond 2016,Standalone,Analysis,Results,Statistical methods,Not classified,One- or two-sided statistical tests,R,Modified,Eligible,Computer science,Interdisciplinary applications,,,
Cramond 2016,Standalone,Analysis,Results,Visualisation methods,Not classified,Confidence intervals represented in error bars,R,Modified,Eligible,Computer science,Interdisciplinary applications,,,
Cramond 2016,Standalone,Analysis,Results,Visualisation methods,Not classified,Standard deviations represented in error bars,R,Modified,Eligible,Computer science,Interdisciplinary applications,,,
